City,Continent,Class,Skewness,Dip_Statistic,Mean_Height
Aalborg,EUROPE,Pyramid,2.274388317,0.282151279,1.109459467
Aarhus,EUROPE,Pyramid,2.329975684,0.072002668,1.166693026
Aba,AFRICA,Hourglass,1.430069807,0,1.282244792
Abadan,ASIA,Hourglass,0.769780917,0,1.379269319
Abaetetuba,SOUTH AMERICA,Hourglass,0.013426478,0,1.583343727
Abai,SOUTH AMERICA,Pyramid,1.541683303,0.849236022,0.217095683
Abakan,ASIA,Hourglass,0.738769756,0,2.195190165
Abancay,SOUTH AMERICA,Hourglass,0.610351065,0,1.881990843
Abau,AUSTRALIA,Pyramid,4.8038655,1,0.001862021
Abaza,ASIA,Pyramid,2.185767278,1,0.462321702
Abbottabad,ASIA,Hourglass,3.099884478,0,0.470515478
Abeche,AFRICA,Hourglass,-0.684928232,0,2.263207656
Abengourou,AFRICA,Hourglass,1.396453224,0.00056149,1.099694772
Abeokuta,AFRICA,Hourglass,1.356519506,0,1.081034886
Aberdeen1,NORTH AMERICA,Pyramid,1.892482059,0.022135751,1.343826799
Aberdeen2,NORTH AMERICA,Pyramid,1.588473911,0.939733431,0.997638151
Aberdeen3,EUROPE,Pyramid,1.607938723,0.004276111,1.412772257
Abha,ASIA,Pyramid,0.955392075,0.994286664,2.03100538
Abidjan,AFRICA,Hourglass,0.726324305,0,2.484341729
Abilene,NORTH AMERICA,Hourglass,1.317185663,0,1.312573051
Abohar,ASIA,Hourglass,4.192992343,0,0.258768972
Abomey,AFRICA,Hourglass,3.994715673,0,0.215470171
Abong Mbang,AFRICA,Diamond,0.192870162,0.091126232,1.686992965
Abra Pampa,SOUTH AMERICA,Pyramid,0.813702925,0.982286447,0.926826114
Abu Dhabi,ASIA,Pyramid,2.691102827,1,2.59102788
Abu Kamal,ASIA,Pyramid,2.92849364,0.670788221,0.461406724
Abuja,AFRICA,Hourglass,0.987678852,1.23E-05,2.016873504
Acapulco,NORTH AMERICA,Hourglass,0.911155912,0,2.64075541
Acarau,SOUTH AMERICA,Pyramid,0.573438304,0.96362255,1.412555127
Acarigua,SOUTH AMERICA,Hourglass,0.448338343,0,2.037241883
Acatlan,NORTH AMERICA,Diamond,0.162506083,0.025957529,1.817766563
Accra,AFRICA,Hourglass,0.056374568,0,2.915973607
Achinsk,ASIA,Pyramid,2.798069035,0.991132356,0.828275634
Acu,SOUTH AMERICA,Hourglass,-0.336837203,0,2.048054604
Ad Dakhla,AFRICA,Pyramid,0.994069045,0.001748368,1.245738541
Ad Damman,ASIA,Hourglass,0.693383144,0.00093005,2.611716418
Ad Diwaniyah,ASIA,Hourglass,-0.0568401,0,1.942523245
Ad Nabk,ASIA,Pyramid,1.726627022,0.082270838,0.984543153
Adana,ASIA,Hourglass,1.392568791,0,2.246477557
Adapazari,ASIA,Hourglass,1.11623712,3.77E-05,1.392635465
Addis Ababa,AFRICA,Hourglass,1.783523267,0,0.856237193
Adelaide,AUSTRALIA,Hourglass,1.236965882,0,2.014215385
Aden,ASIA,Pyramid,1.841067834,0.999319237,0.76740885
Adi Ugri,AFRICA,Hourglass,7.920900758,5.04E-06,0.076598976
Adigrat,AFRICA,Pyramid,2.244504934,0.957058541,0.476807084
Adiyaman,ASIA,Pyramid,2.272553364,0.004440783,0.644069374
Ado Ekiti,AFRICA,Hourglass,3.415750002,8.07E-06,0.312922998
Adrar,AFRICA,Hourglass,0.550023657,0,1.429275567
Afyon,ASIA,Pyramid,1.708949909,0.980098692,0.841108142
Agadez,AFRICA,Pyramid,1.100273808,0.024802922,0.798663067
Agadir,AFRICA,Hourglass,0.677563599,0,1.796912965
Agana,ASIA,Pyramid,2.272854262,0.996430056,0.602605033
Agartala,ASIA,Hourglass,7.171982848,0,0.119389625
Agboville,AFRICA,Pyramid,1.327731389,0.182922118,1.001938671
Agen,EUROPE,Pyramid,1.360391444,0.984020684,1.313407904
Agordat,AFRICA,Pyramid,1.533941093,0.996589795,0.702501866
Agra,ASIA,Hourglass,5.082188574,0,0.235008796
Agri,ASIA,Pyramid,2.28896809,0.992167095,0.720174006
Agrinio,EUROPE,Pyramid,2.125563993,0.992362707,0.722145987
Agua Prieta,NORTH AMERICA,Hourglass,0.193551093,0,1.694376279
Aguascalientes,NORTH AMERICA,Hourglass,0.1894984,0,2.359877895
Ahar,ASIA,Hourglass,0.099306739,0,1.840937569
Ahmadabad,ASIA,Hourglass,4.252350116,0,0.418899626
Ahmednagar,ASIA,Pyramid,1.872315528,0.418734731,0.736340184
Ahwaz,ASIA,Hourglass,1.278017216,0,1.858646463
Aigua,SOUTH AMERICA,Pyramid,1.628099291,0.997219038,0.5588544
Aiken,NORTH AMERICA,Pyramid,2.790170014,1,0.738702672
Aiquile,SOUTH AMERICA,Pyramid,1.225017718,0.74990665,0.908404035
Aix-en-Provence,EUROPE,Pyramid,1.697763974,0.996250972,1.277903629
Aizawl,ASIA,Pyramid,2.688425683,1,1.125900369
Ajaccio,EUROPE,Pyramid,2.290419573,0.996291729,0.764588136
Ajdabiya,AFRICA,Diamond,-0.068088935,0.832637325,2.388791448
Ajmer,ASIA,Pyramid,1.831011853,0.045782084,0.995355635
Aketi,AFRICA,Pyramid,1.807929678,0.999689268,0.615996812
Akhtubinsk,EUROPE,Pyramid,0.986323682,0.982025208,1.119900864
Akita,ASIA,Hourglass,1.507314092,0,2.361144848
Akola,ASIA,Pyramid,2.445050467,0.291487029,0.512317355
